Subregion,Subregion_norm,NE_name,NE_name_norm,score,country,top_candidates
Est,est,Est,est,100,Cameroon,"[{""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""North-West"", ""candidate_NE_name_norm"": ""north-west"", ""score"": 90, ""country"": ""Botswana""}, {""candidate_NE_name"": ""Nord-Ouest"", ""candidate_NE_name_norm"": ""nord-ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Ouest"", ""candidate_NE_name_norm"": ""ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Sud-Ouest"", ""candidate_NE_name_norm"": ""sud-ouest"", ""score"": 90, ""country"": ""Cameroon""}]"
Hauts-Bassins,hauts-bassins,Ghat,ghat,68,Libya,"[{""candidate_NE_name"": ""Ghat"", ""candidate_NE_name_norm"": ""ghat"", ""score"": 68, ""country"": ""Libya""}, {""candidate_NE_name"": ""Haut-Sassandra"", ""candidate_NE_name_norm"": ""haut-sassandra"", ""score"": 67, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Beau Bassin-Rose Hill"", ""candidate_NE_name_norm"": ""beau bassin-rose hill"", ""score"": 62, ""country"": ""Mauritius""}, {""candidate_NE_name"": ""Houet"", ""candidate_NE_name_norm"": ""houet"", ""score"": 60, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 60, ""country"": ""Burkina Faso""}]"
Hauts-bassins,hauts-bassins,Ghat,ghat,68,Libya,"[{""candidate_NE_name"": ""Ghat"", ""candidate_NE_name_norm"": ""ghat"", ""score"": 68, ""country"": ""Libya""}, {""candidate_NE_name"": ""Haut-Sassandra"", ""candidate_NE_name_norm"": ""haut-sassandra"", ""score"": 67, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Beau Bassin-Rose Hill"", ""candidate_NE_name_norm"": ""beau bassin-rose hill"", ""score"": 62, ""country"": ""Mauritius""}, {""candidate_NE_name"": ""Houet"", ""candidate_NE_name_norm"": ""houet"", ""score"": 60, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 60, ""country"": ""Burkina Faso""}]"
Nord,nord,Nord,nord,100,Cameroon,"[{""candidate_NE_name"": ""Nord"", ""candidate_NE_name_norm"": ""nord"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Extrême-Nord"", ""candidate_NE_name_norm"": ""extreme-nord"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Nord-Ouest"", ""candidate_NE_name_norm"": ""nord-ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Nord-Kivu"", ""candidate_NE_name_norm"": ""nord-kivu"", ""score"": 90, ""country"": ""Democratic Republic of the Congo""}, {""candidate_NE_name"": ""North-West"", ""candidate_NE_name_norm"": ""north-west"", ""score"": 77, ""country"": ""Botswana""}]"
Plateau Central,plateau central,Plateau,plateau,90,Benin,"[{""candidate_NE_name"": ""Plateau"", ""candidate_NE_name_norm"": ""plateau"", ""score"": 90, ""country"": ""Benin""}, {""candidate_NE_name"": ""Central"", ""candidate_NE_name_norm"": ""central"", ""score"": 90, ""country"": ""Botswana""}, {""candidate_NE_name"": ""Central"", ""candidate_NE_name_norm"": ""central"", ""score"": 90, ""country"": ""Ghana""}, {""candidate_NE_name"": ""Central"", ""candidate_NE_name_norm"": ""central"", ""score"": 90, ""country"": ""Kenya""}, {""candidate_NE_name"": ""Plateau"", ""candidate_NE_name_norm"": ""plateau"", ""score"": 90, ""country"": ""Nigeria""}]"
Sahel,sahel,Sal,sal,75,Cape Verde,"[{""candidate_NE_name"": ""Sal"", ""candidate_NE_name_norm"": ""sal"", ""score"": 75, ""country"": ""Cape Verde""}, {""candidate_NE_name"": ""Selebi-Phikwe"", ""candidate_NE_name_norm"": ""selebi-phikwe"", ""score"": 68, ""country"": ""Botswana""}, {""candidate_NE_name"": ""Western Sahara"", ""candidate_NE_name_norm"": ""western sahara"", ""score"": 64, ""country"": ""Western Sahara""}, {""candidate_NE_name"": ""Khenchela"", ""candidate_NE_name_norm"": ""khenchela"", ""score"": 60, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Barh El Gazel"", ""candidate_NE_name_norm"": ""barh el gazel"", ""score"": 60, ""country"": ""Chad""}]"
Sud-Ouest,sud-ouest,Sud-Ouest,sud-ouest,100,Cameroon,"[{""candidate_NE_name"": ""Sud-Ouest"", ""candidate_NE_name_norm"": ""sud-ouest"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Ouest"", ""candidate_NE_name_norm"": ""ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Sud"", ""candidate_NE_name_norm"": ""sud"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Nord-Ouest"", ""candidate_NE_name_norm"": ""nord-ouest"", ""score"": 74, ""country"": ""Cameroon""}]"
Bubanza,bubanza,Bubanza,bubanza,100,Burundi,"[{""candidate_NE_name"": ""Bubanza"", ""candidate_NE_name_norm"": ""bubanza"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Bouenza"", ""candidate_NE_name_norm"": ""bouenza"", ""score"": 71, ""country"": ""Republic of the Congo""}, {""candidate_NE_name"": ""Cuanza Norte"", ""candidate_NE_name_norm"": ""cuanza norte"", ""score"": 69, ""country"": ""Angola""}, {""candidate_NE_name"": ""Gaza"", ""candidate_NE_name_norm"": ""gaza"", ""score"": 68, ""country"": ""Mozambique""}, {""candidate_NE_name"": ""Banwa"", ""candidate_NE_name_norm"": ""banwa"", ""score"": 67, ""country"": ""Burkina Faso""}]"
Bujumbura-Mairie,bujumbura-mairie,Bujumbura Mairie,bujumbura mairie,94,Burundi,"[{""candidate_NE_name"": ""Bujumbura Mairie"", ""candidate_NE_name_norm"": ""bujumbura mairie"", ""score"": 94, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Zaire"", ""candidate_NE_name_norm"": ""zaire"", ""score"": 72, ""country"": ""Angola""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 72, ""country"": ""Angola""}, {""candidate_NE_name"": ""Muramvya"", ""candidate_NE_name_norm"": ""muramvya"", ""score"": 68, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Maio"", ""candidate_NE_name_norm"": ""maio"", ""score"": 68, ""country"": ""Cape Verde""}]"
Bujumbura-Rural,bujumbura-rural,Bujumbura Rural,bujumbura rural,93,Burundi,"[{""candidate_NE_name"": ""Bujumbura Rural"", ""candidate_NE_name_norm"": ""bujumbura rural"", ""score"": 93, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Sal"", ""candidate_NE_name_norm"": ""sal"", ""score"": 72, ""country"": ""Cape Verde""}, {""candidate_NE_name"": ""Arua"", ""candidate_NE_name_norm"": ""arua"", ""score"": 68, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Buvuma"", ""candidate_NE_name_norm"": ""buvuma"", ""score"": 65, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Buhweju"", ""candidate_NE_name_norm"": ""buhweju"", ""score"": 65, ""country"": ""Uganda""}]"
Bururi,bururi,Bururi,bururi,100,Burundi,"[{""candidate_NE_name"": ""Bururi"", ""candidate_NE_name_norm"": ""bururi"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Bugiri"", ""candidate_NE_name_norm"": ""bugiri"", ""score"": 67, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Bougouriba"", ""candidate_NE_name_norm"": ""bougouriba"", ""score"": 62, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bujumbura Rural"", ""candidate_NE_name_norm"": ""bujumbura rural"", ""score"": 60, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Bur Sa`id"", ""candidate_NE_name_norm"": ""bur sa`id"", ""score"": 60, ""country"": ""Egypt""}]"
Cankuzo,cankuzo,Cankuzo,cankuzo,100,Burundi,"[{""candidate_NE_name"": ""Cankuzo"", ""candidate_NE_name_norm"": ""cankuzo"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Zou"", ""candidate_NE_name_norm"": ""zou"", ""score"": 72, ""country"": ""Benin""}, {""candidate_NE_name"": ""Cuanza Norte"", ""candidate_NE_name_norm"": ""cuanza norte"", ""score"": 60, ""country"": ""Angola""}, {""candidate_NE_name"": ""Ziro"", ""candidate_NE_name_norm"": ""ziro"", ""score"": 60, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Cuando Cubango"", ""candidate_NE_name_norm"": ""cuando cubango"", ""score"": 55, ""country"": ""Angola""}]"
Cibitoke,cibitoke,Cibitoke,cibitoke,100,Burundi,"[{""candidate_NE_name"": ""Cibitoke"", ""candidate_NE_name_norm"": ""cibitoke"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Boke"", ""candidate_NE_name_norm"": ""boke"", ""score"": 77, ""country"": ""Guinea""}, {""candidate_NE_name"": ""Otuke"", ""candidate_NE_name_norm"": ""otuke"", ""score"": 68, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 60, ""country"": ""Angola""}, {""candidate_NE_name"": ""Kémo"", ""candidate_NE_name_norm"": ""kemo"", ""score"": 60, ""country"": ""Central African Republic""}]"
Gitega,gitega,Gitega,gitega,100,Burundi,"[{""candidate_NE_name"": ""Gitega"", ""candidate_NE_name_norm"": ""gitega"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Oubritenga"", ""candidate_NE_name_norm"": ""oubritenga"", ""score"": 75, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Kouritenga"", ""candidate_NE_name_norm"": ""kouritenga"", ""score"": 75, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Geita"", ""candidate_NE_name_norm"": ""geita"", ""score"": 73, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Gao"", ""candidate_NE_name_norm"": ""gao"", ""score"": 72, ""country"": ""Mali""}]"
Karuzi,karuzi,Karuzi,karuzi,100,Burundi,"[{""candidate_NE_name"": ""Karuzi"", ""candidate_NE_name_norm"": ""karuzi"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Kara"", ""candidate_NE_name_norm"": ""kara"", ""score"": 77, ""country"": ""Togo""}, {""candidate_NE_name"": ""Arua"", ""candidate_NE_name_norm"": ""arua"", ""score"": 68, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Kamuli"", ""candidate_NE_name_norm"": ""kamuli"", ""score"": 67, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Hodh ech Chargui"", ""candidate_NE_name_norm"": ""hodh ech chargui"", ""score"": 65, ""country"": ""Mauritania""}]"
Kayanza,kayanza,Kayanza,kayanza,100,Burundi,"[{""candidate_NE_name"": ""Kayanza"", ""candidate_NE_name_norm"": ""kayanza"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Nyanza"", ""candidate_NE_name_norm"": ""nyanza"", ""score"": 77, ""country"": ""Kenya""}, {""candidate_NE_name"": ""Katanga"", ""candidate_NE_name_norm"": ""katanga"", ""score"": 71, ""country"": ""Democratic Republic of the Congo""}, {""candidate_NE_name"": ""Kayunga"", ""candidate_NE_name_norm"": ""kayunga"", ""score"": 71, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Gaza"", ""candidate_NE_name_norm"": ""gaza"", ""score"": 68, ""country"": ""Mozambique""}]"
Kirundo,kirundo,Kirundo,kirundo,100,Burundi,"[{""candidate_NE_name"": ""Kirundo"", ""candidate_NE_name_norm"": ""kirundo"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Ondo"", ""candidate_NE_name_norm"": ""ondo"", ""score"": 77, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Edo"", ""candidate_NE_name_norm"": ""edo"", ""score"": 72, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Kairouan"", ""candidate_NE_name_norm"": ""kairouan"", ""score"": 67, ""country"": ""Tunisia""}, {""candidate_NE_name"": ""Kiryandongo"", ""candidate_NE_name_norm"": ""kiryandongo"", ""score"": 67, ""country"": ""Uganda""}]"
Makamba,makamba,Makamba,makamba,100,Burundi,"[{""candidate_NE_name"": ""Makamba"", ""candidate_NE_name_norm"": ""makamba"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 72, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bay"", ""candidate_NE_name_norm"": ""bay"", ""score"": 72, ""country"": ""Somalia""}, {""candidate_NE_name"": ""Anambra"", ""candidate_NE_name_norm"": ""anambra"", ""score"": 71, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Moka"", ""candidate_NE_name_norm"": ""moka"", ""score"": 68, ""country"": ""Mauritius""}]"
Muramvya,muramvya,Muramvya,muramvya,100,Burundi,"[{""candidate_NE_name"": ""Muramvya"", ""candidate_NE_name_norm"": ""muramvya"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Bujumbura Mairie"", ""candidate_NE_name_norm"": ""bujumbura mairie"", ""score"": 68, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Mara"", ""candidate_NE_name_norm"": ""mara"", ""score"": 68, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Amuru"", ""candidate_NE_name_norm"": ""amuru"", ""score"": 68, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Brava"", ""candidate_NE_name_norm"": ""brava"", ""score"": 62, ""country"": ""Cape Verde""}]"
Muyinga,muyinga,Muyinga,muyinga,100,Burundi,"[{""candidate_NE_name"": ""Muyinga"", ""candidate_NE_name_norm"": ""muyinga"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Muchinga"", ""candidate_NE_name_norm"": ""muchinga"", ""score"": 80, ""country"": ""Zambia""}, {""candidate_NE_name"": ""Gao"", ""candidate_NE_name_norm"": ""gao"", ""score"": 72, ""country"": ""Mali""}, {""candidate_NE_name"": ""Qina"", ""candidate_NE_name_norm"": ""qina"", ""score"": 68, ""country"": ""Egypt""}, {""candidate_NE_name"": ""Machinga"", ""candidate_NE_name_norm"": ""machinga"", ""score"": 67, ""country"": ""Malawi""}]"
Mwaro,mwaro,Mwaro,mwaro,100,Burundi,"[{""candidate_NE_name"": ""Mwaro"", ""candidate_NE_name_norm"": ""mwaro"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Mtwara"", ""candidate_NE_name_norm"": ""mtwara"", ""score"": 73, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Marahoué"", ""candidate_NE_name_norm"": ""marahoue"", ""score"": 68, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Al Bahr al Ahmar"", ""candidate_NE_name_norm"": ""al bahr al ahmar"", ""score"": 68, ""country"": ""Egypt""}, {""candidate_NE_name"": ""Maryland"", ""candidate_NE_name_norm"": ""maryland"", ""score"": 68, ""country"": ""Liberia""}]"
Ngozi,ngozi,Ngozi,ngozi,100,Burundi,"[{""candidate_NE_name"": ""Ngozi"", ""candidate_NE_name_norm"": ""ngozi"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Cuando Cubango"", ""candidate_NE_name_norm"": ""cuando cubango"", ""score"": 68, ""country"": ""Angola""}, {""candidate_NE_name"": ""N'zi-Comoé"", ""candidate_NE_name_norm"": ""nzi-comoe"", ""score"": 68, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Bas-Congo"", ""candidate_NE_name_norm"": ""bas-congo"", ""score"": 68, ""country"": ""Democratic Republic of the Congo""}, {""candidate_NE_name"": ""Kyankwanzi"", ""candidate_NE_name_norm"": ""kyankwanzi"", ""score"": 68, ""country"": ""Uganda""}]"
Rutana,rutana,Rutana,rutana,100,Burundi,"[{""candidate_NE_name"": ""Rutana"", ""candidate_NE_name_norm"": ""rutana"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Tanga"", ""candidate_NE_name_norm"": ""tanga"", ""score"": 73, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Arta"", ""candidate_NE_name_norm"": ""arta"", ""score"": 68, ""country"": ""Djibouti""}, {""candidate_NE_name"": ""Arua"", ""candidate_NE_name_norm"": ""arua"", ""score"": 68, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Luanda"", ""candidate_NE_name_norm"": ""luanda"", ""score"": 67, ""country"": ""Angola""}]"
Ruyigi,ruyigi,Ruyigi,ruyigi,100,Burundi,"[{""candidate_NE_name"": ""Ruyigi"", ""candidate_NE_name_norm"": ""ruyigi"", ""score"": 100, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Uíge"", ""candidate_NE_name_norm"": ""uige"", ""score"": 68, ""country"": ""Angola""}, {""candidate_NE_name"": ""Muyinga"", ""candidate_NE_name_norm"": ""muyinga"", ""score"": 62, ""country"": ""Burundi""}, {""candidate_NE_name"": ""Tuy"", ""candidate_NE_name_norm"": ""tuy"", ""score"": 60, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Kogi"", ""candidate_NE_name_norm"": ""kogi"", ""score"": 60, ""country"": ""Nigeria""}]"
Waterbody,waterbody,Sowa,sowa,60,Botswana,"[{""candidate_NE_name"": ""Sowa"", ""candidate_NE_name_norm"": ""sowa"", ""score"": 60, ""country"": ""Botswana""}, {""candidate_NE_name"": ""Boeny"", ""candidate_NE_name_norm"": ""boeny"", ""score"": 60, ""country"": ""Madagascar""}, {""candidate_NE_name"": ""Dowa"", ""candidate_NE_name_norm"": ""dowa"", ""score"": 60, ""country"": ""Malawi""}, {""candidate_NE_name"": ""Oyo"", ""candidate_NE_name_norm"": ""oyo"", ""score"": 60, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Ebonyi"", ""candidate_NE_name_norm"": ""ebonyi"", ""score"": 60, ""country"": ""Nigeria""}]"
Adamaoua,adamaoua,Adamaoua,adamaoua,100,Cameroon,"[{""candidate_NE_name"": ""Adamaoua"", ""candidate_NE_name_norm"": ""adamaoua"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Adamawa"", ""candidate_NE_name_norm"": ""adamawa"", ""score"": 80, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Naâma"", ""candidate_NE_name_norm"": ""naama"", ""score"": 72, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Mamou"", ""candidate_NE_name_norm"": ""mamou"", ""score"": 72, ""country"": ""Guinea""}, {""candidate_NE_name"": ""Ouaka"", ""candidate_NE_name_norm"": ""ouaka"", ""score"": 68, ""country"": ""Central African Republic""}]"
Extreme-Nord,extreme-nord,Extrême-Nord,extreme-nord,100,Cameroon,"[{""candidate_NE_name"": ""Extrême-Nord"", ""candidate_NE_name_norm"": ""extreme-nord"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Nord"", ""candidate_NE_name_norm"": ""nord"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Séno"", ""candidate_NE_name_norm"": ""seno"", ""score"": 68, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Neno"", ""candidate_NE_name_norm"": ""neno"", ""score"": 68, ""country"": ""Malawi""}, {""candidate_NE_name"": ""Centre"", ""candidate_NE_name_norm"": ""centre"", ""score"": 65, ""country"": ""Cameroon""}]"
Nord-Ouest,nord-ouest,Nord-Ouest,nord-ouest,100,Cameroon,"[{""candidate_NE_name"": ""Nord-Ouest"", ""candidate_NE_name_norm"": ""nord-ouest"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Nord"", ""candidate_NE_name_norm"": ""nord"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Ouest"", ""candidate_NE_name_norm"": ""ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Sud-Ouest"", ""candidate_NE_name_norm"": ""sud-ouest"", ""score"": 74, ""country"": ""Cameroon""}]"
Ouest,ouest,Ouest,ouest,100,Cameroon,"[{""candidate_NE_name"": ""Ouest"", ""candidate_NE_name_norm"": ""ouest"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Nord-Ouest"", ""candidate_NE_name_norm"": ""nord-ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Sud-Ouest"", ""candidate_NE_name_norm"": ""sud-ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Cuvette-Ouest"", ""candidate_NE_name_norm"": ""cuvette-ouest"", ""score"": 90, ""country"": ""Republic of the Congo""}]"
Sud,sud,Sud,sud,100,Cameroon,"[{""candidate_NE_name"": ""Sud"", ""candidate_NE_name_norm"": ""sud"", ""score"": 100, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Sud-Bandama"", ""candidate_NE_name_norm"": ""sud-bandama"", ""score"": 90, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Sud-Comoé"", ""candidate_NE_name_norm"": ""sud-comoe"", ""score"": 90, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Sud-Ouest"", ""candidate_NE_name_norm"": ""sud-ouest"", ""score"": 90, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Sud-Kivu"", ""candidate_NE_name_norm"": ""sud-kivu"", ""score"": 90, ""country"": ""Democratic Republic of the Congo""}]"
Bamingui-bangora,bamingui-bangora,Bamingui-Bangoran,bamingui-bangoran,97,Central African Republic,"[{""candidate_NE_name"": ""Bamingui-Bangoran"", ""candidate_NE_name_norm"": ""bamingui-bangoran"", ""score"": 97, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 90, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Ngora"", ""candidate_NE_name_norm"": ""ngora"", ""score"": 90, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Oran"", ""candidate_NE_name_norm"": ""oran"", ""score"": 77, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bafing"", ""candidate_NE_name_norm"": ""bafing"", ""score"": 75, ""country"": ""Ivory Coast""}]"
Bangui,bangui,Bangui,bangui,100,Central African Republic,"[{""candidate_NE_name"": ""Bangui"", ""candidate_NE_name_norm"": ""bangui"", ""score"": 100, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Sanguié"", ""candidate_NE_name_norm"": ""sanguie"", ""score"": 77, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Chari-Baguirmi"", ""candidate_NE_name_norm"": ""chari-baguirmi"", ""score"": 75, ""country"": ""Chad""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 72, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bani Suwayf"", ""candidate_NE_name_norm"": ""bani suwayf"", ""score"": 72, ""country"": ""Egypt""}]"
Basse Kotto,basse kotto,Basse-Kotto,basse-kotto,91,Central African Republic,"[{""candidate_NE_name"": ""Basse-Kotto"", ""candidate_NE_name_norm"": ""basse-kotto"", ""score"": 91, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 72, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bay"", ""candidate_NE_name_norm"": ""bay"", ""score"": 72, ""country"": ""Somalia""}, {""candidate_NE_name"": ""Sokoto"", ""candidate_NE_name_norm"": ""sokoto"", ""score"": 65, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Kotido"", ""candidate_NE_name_norm"": ""kotido"", ""score"": 65, ""country"": ""Uganda""}]"
Haut-mboumou,haut-mboumou,Haut-Mbomou,haut-mbomou,96,Central African Republic,"[{""candidate_NE_name"": ""Haut-Mbomou"", ""candidate_NE_name_norm"": ""haut-mbomou"", ""score"": 96, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Mbomou"", ""candidate_NE_name_norm"": ""mbomou"", ""score"": 75, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Zou"", ""candidate_NE_name_norm"": ""zou"", ""score"": 72, ""country"": ""Benin""}, {""candidate_NE_name"": ""Yomou"", ""candidate_NE_name_norm"": ""yomou"", ""score"": 72, ""country"": ""Guinea""}, {""candidate_NE_name"": ""Haut-Ogooué"", ""candidate_NE_name_norm"": ""haut-ogooue"", ""score"": 70, ""country"": ""Gabon""}]"
Hautte-kotto,hautte-kotto,Haute-Kotto,haute-kotto,96,Central African Republic,"[{""candidate_NE_name"": ""Haute-Kotto"", ""candidate_NE_name_norm"": ""haute-kotto"", ""score"": 96, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Basse-Kotto"", ""candidate_NE_name_norm"": ""basse-kotto"", ""score"": 70, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Ghat"", ""candidate_NE_name_norm"": ""ghat"", ""score"": 68, ""country"": ""Libya""}, {""candidate_NE_name"": ""Tete"", ""candidate_NE_name_norm"": ""tete"", ""score"": 68, ""country"": ""Mozambique""}, {""candidate_NE_name"": ""Sokoto"", ""candidate_NE_name_norm"": ""sokoto"", ""score"": 65, ""country"": ""Nigeria""}]"
Kemo,kemo,Kémo,kemo,100,Central African Republic,"[{""candidate_NE_name"": ""Kémo"", ""candidate_NE_name_norm"": ""kemo"", ""score"": 100, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Boulkiemdé"", ""candidate_NE_name_norm"": ""boulkiemde"", ""score"": 68, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Komondjari"", ""candidate_NE_name_norm"": ""komondjari"", ""score"": 68, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Aïn Témouchent"", ""candidate_NE_name_norm"": ""ain temouchent"", ""score"": 68, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Guéckédou"", ""candidate_NE_name_norm"": ""gueckedou"", ""score"": 68, ""country"": ""Guinea""}]"
Lobaye,lobaye,Lobaye,lobaye,100,Central African Republic,"[{""candidate_NE_name"": ""Lobaye"", ""candidate_NE_name_norm"": ""lobaye"", ""score"": 100, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Bay"", ""candidate_NE_name_norm"": ""bay"", ""score"": 90, ""country"": ""Somalia""}, {""candidate_NE_name"": ""Lobatse"", ""candidate_NE_name_norm"": ""lobatse"", ""score"": 77, ""country"": ""Botswana""}, {""candidate_NE_name"": ""Balé"", ""candidate_NE_name_norm"": ""bale"", ""score"": 68, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Ioba"", ""candidate_NE_name_norm"": ""ioba"", ""score"": 68, ""country"": ""Burkina Faso""}]"
